epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
127,20155.5,1.71242,2.05213,1.68015,0.45595,0.42639,0.42437,0.18111,1.89067,2.28348,1.88401,0.005842,0.005842,0.005842
128,20313.5,1.71667,2.03937,1.68766,0.45474,0.42639,0.42397,0.18111,1.8915,2.28258,1.8847,0.005809,0.005809,0.005809
129,20471.6,1.71329,2.06877,1.67891,0.45578,0.42639,0.4232,0.1815,1.88998,2.28191,1.88391,0.005776,0.005776,0.005776
130,20629.7,1.70965,2.04166,1.67436,0.44921,0.42917,0.42407,0.18158,1.8893,2.28116,1.88369,0.005743,0.005743,0.005743
131,20787.8,1.69582,2.05966,1.67013,0.45483,0.43056,0.42579,0.18199,1.89023,2.28125,1.88403,0.00571,0.00571,0.00571
132,20946.2,1.70293,2.07281,1.66728,0.4505,0.43056,0.42392,0.18178,1.88979,2.28007,1.88409,0.005677,0.005677,0.005677
133,21104.2,1.71284,2.02646,1.67038,0.47032,0.42639,0.42621,0.18152,1.89071,2.27882,1.88427,0.005644,0.005644,0.005644
134,21262.6,1.71737,1.99796,1.67589,0.47133,0.42917,0.42703,0.18277,1.89223,2.27936,1.88426,0.005611,0.005611,0.005611
135,21420.6,1.70206,2.06624,1.67035,0.4699,0.42917,0.42709,0.18223,1.89295,2.27666,1.88536,0.005578,0.005578,0.005578
136,21578.9,1.69483,2.01555,1.66104,0.47208,0.42917,0.42698,0.18253,1.89285,2.27515,1.88591,0.005545,0.005545,0.005545
137,21737.1,1.70325,2.01029,1.66953,0.47262,0.42778,0.42797,0.18286,1.89315,2.27494,1.88696,0.005512,0.005512,0.005512
138,21895.3,1.68071,2.06014,1.65467,0.47397,0.42917,0.42876,0.18251,1.89392,2.27443,1.88715,0.005479,0.005479,0.005479
139,22053.7,1.68512,2.02173,1.66485,0.47275,0.42917,0.42843,0.1821,1.89497,2.27372,1.88846,0.005446,0.005446,0.005446
140,22211.8,1.6913,2.03131,1.66314,0.47466,0.42778,0.42906,0.18211,1.89657,2.27158,1.88997,0.005413,0.005413,0.005413
141,22370,1.69266,2.04342,1.66443,0.4725,0.42917,0.42905,0.18175,1.89611,2.27255,1.88998,0.00538,0.00538,0.00538
142,22528.2,1.68219,1.99091,1.66417,0.47719,0.42721,0.4299,0.18194,1.89769,2.27095,1.89073,0.005347,0.005347,0.005347
143,22686.5,1.69444,1.99007,1.66335,0.47476,0.43056,0.43012,0.18184,1.8979,2.27012,1.89065,0.005314,0.005314,0.005314
144,22845.4,1.68321,2.01222,1.65323,0.47679,0.42639,0.43046,0.18192,1.89992,2.27059,1.89212,0.005281,0.005281,0.005281
145,23003.5,1.66846,2.01085,1.65398,0.47751,0.42639,0.43083,0.18154,1.90045,2.27061,1.89296,0.005248,0.005248,0.005248
146,23161.7,1.6792,1.97946,1.66259,0.48002,0.4244,0.4322,0.18256,1.90147,2.27144,1.89397,0.005215,0.005215,0.005215
147,23319.9,1.66998,1.9888,1.63996,0.48079,0.42222,0.43045,0.18202,1.90234,2.27175,1.89494,0.005182,0.005182,0.005182
